,Date,User,Tweet
63,2023-02-23 15:35:00+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/gG6YTMeHaV"
64,2023-02-23 15:31:11+00:00,TimesNow,"#JaiJawanBetrayed

Surendra Yadav is simply pointing out the outcome of the government's policy. There's nothing wrong there: RJD's Anwar Hussain

@RShivshankar | #IndiaUpfront https://t.co/IuB0um1hcT"
65,2023-02-23 15:30:00+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/H2OpEIeMiP"
66,2023-02-23 15:27:28+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar https://t.co/egJKESTRZ3"
67,2023-02-23 15:27:07+00:00,TimesNow,"#KhalistanFreeRun

""Let's wake up, end the politics. Stand with the patriots and with the country,"" @RShivshankar concludes the debate on #IndiaUpfront after taking closing comments from @Rizwanillahi https://t.co/IC9JlZ7Vv2"
68,2023-02-23 15:25:00+00:00,TimesNow,"#KhalistanFreeRun

Armed 'Khalistan' Siege In Punjab... Open Assault On The 'Idea Of India'

After He Dared State &amp; Centre, Sarkar Bows Down To His Demands  

Punjab Sarkar Loses All Control

Why Allow This #KhalistanFreeRun?

Watch @TheNewshour with @NavikaKumar at 9 PM https://t.co/Pd6mYhCOem"
69,2023-02-23 15:24:52+00:00,TimesNow,"#KhalistanFreeRun

In 2021, we arrested Jaswinder Singh Multani, Gurmukh Singh (nephew of Jarnail Singh Bhindranwale)...: @Sanju_Verma_ names Khalistanis who were recently arrested by the Modi govt.

@RShivshankar | #IndiaUpfront https://t.co/7RrlbPN3wq"
70,2023-02-23 15:20:00+00:00,TimesNow,"#KhalistanFreeRun

Armed 'Khalistan' Siege In Punjab... Open Assault On The 'Idea Of India'

After He Dared State &amp; Centre, Sarkar Bows Down To His Demands  

Punjab Sarkar Loses All Control

Why Allow This #KhalistanFreeRun?

Watch @TheNewshour with @NavikaKumar at 9 PM https://t.co/DagwZvN4KX"
71,2023-02-23 15:16:58+00:00,TimesNow,"#KhalistanFreeRun

One is very perturbed to see history repeating itself. First time as tragedy, the second time as farce: @GeneralBakshi

Watch #IndiaUpfront with @RShivshankar https://t.co/f7aNlfZTn8"
72,2023-02-23 15:15:00+00:00,TimesNow,"#KhalistanFreeRun

Armed 'Khalistan' Siege In Punjab... Open Assault On The 'Idea Of India'

After He Dared State &amp; Centre, Sarkar Bows Down To His Demands  

Punjab Sarkar Loses All Control

Why Allow This #KhalistanFreeRun?

Watch @TheNewshour with @NavikaKumar at 9 PM https://t.co/Uds7Tf96Ap"
73,2023-02-23 15:10:00+00:00,TimesNow,"#KhalistanFreeRun

Armed 'Khalistan' Siege In Punjab... Open Assault On The 'Idea Of India'

After He Dared State &amp; Centre, Sarkar Bows Down To His Demands  

Punjab Sarkar Loses All Control

Why Allow This #KhalistanFreeRun?

Watch @TheNewshour with @NavikaKumar at 9 PM https://t.co/kXDYbnV1Nn"
74,2023-02-23 15:07:51+00:00,TimesNow,"#KhalistanFreeRun

Law &amp; order including the Police is in state list. They question the Modi govt when it is fine for them to do so. Why nobody is questioning Bhagwant Mann?: @Sanju_Verma_ slams AAP-led Punjab govt.

@RShivshankar | #IndiaUpfront https://t.co/wh80V5SR1X"
75,2023-02-23 15:05:00+00:00,TimesNow,"#KhalistanFreeRun

Armed 'Khalistan' Siege In Punjab... Open Assault On The 'Idea Of India'

After He Dared State &amp; Centre, Sarkar Bows Down To His Demands  

Punjab Sarkar Loses All Control

Why Allow This #KhalistanFreeRun?

Watch @TheNewshour with @NavikaKumar at 9 PM https://t.co/1SBooN9oo9"
76,2023-02-23 15:00:15+00:00,TimesNow,"#SorryAfterInsult

One Cong Neta Deplaned &amp; Detained... Cong Hijacks Runway For Rajniti

Now, Offers Apology After Insult

Khera Admits 'Inadvertent Error'

BJP: First Abuse, Then Play Victim

Facing Arrest, ‘Sorry’ To Save Face?

@TheNewshour with @NavikaKumar @ 9:35 PM https://t.co/vfAGxK2zHv"
77,2023-02-23 15:00:00+00:00,TimesNow,"#KhalistanFreeRun

Armed 'Khalistan' Siege In Punjab... Open Assault On The 'Idea Of India'

After He Dared State &amp; Centre, Sarkar Bows Down To His Demands  

Punjab Sarkar Loses All Control

Why Allow This #KhalistanFreeRun?

Watch @TheNewshour with @NavikaKumar at 9 PM https://t.co/YkDNeSiP8p"
78,2023-02-23 14:58:51+00:00,TimesNow,"#KhalistanFreeRun

This is not an issue that is not exclusively for the state govt to manage. It is not about AAP vs BJP. It is a matter of national security &amp; everybody needs to work together: @sumanthraman

@RShivshankar | #IndiaUpfront https://t.co/BspdoBty05"
79,2023-02-23 14:55:41+00:00,TimesNow,"#KhalistanFreeRun

Member of Parliament Simranjit Singh Mann, in all his public utterances, has called for creation of state #Khalistan. Do you believe that he should be sitting in Parliament- @RShivshankar shoots a question at @ZariwalaHuda

Here's what Huda Zariwala has to say. https://t.co/rIibQ6RYCn"
80,2023-02-23 14:55:00+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar tonight @ 8:30 https://t.co/tnTkdIqejU"
81,2023-02-23 14:50:00+00:00,TimesNow,"#JaiJawanBetrayed

'Bharat Mata' Is Crying Today... Braves Murdered &amp; Maligned

Shocker From Nitish's Mantri... Calls Our Braves 'Hijron Ki Fauj'

Seek 'Saboot', Slander Soldiers

Stop Voting For Army Baiters!

Watch #IndiaUpfront with @RShivshankar tonight @ 8:30 https://t.co/TNUwMouVMz"
