tweet_id,Date,User,Tweet
91,2023-02-23 14:04:11+00:00,IndiaToday,"Every year, on February 24, Central Excise Day is celebrated across the entire country to encourage the excise department's employees to perform their duties in an efficient manner

#CentralExciseDay 

https://t.co/FODj83toPL"
92,2023-02-23 13:56:48+00:00,IndiaToday,"2,00,000 condom boxes steal the show at Diesel's Milan Fashion Week display

#Lifestyle 
https://t.co/M2pcZnzkqD"
93,2023-02-23 13:55:36+00:00,IndiaToday,Delhi Mayor elections result in midnight chaos. Watch this and more on #TTP with @PreetiChoudhry  | #ITLivestream https://t.co/gxaMD6e5uC
94,2023-02-23 13:54:48+00:00,IndiaToday,"#ThinkAboutIT #Motivation #Life #SocialMediaSpecial
@Chaiti https://t.co/dokf68z96D"
95,2023-02-23 13:50:36+00:00,IndiaToday,"""Pawan Khera should have apologised for mocking PM and the matter should have rested there,"" says @sardesairajdeep.

""Misuse of police power is something one should be worried about,"" adds Rajdeep Sardesai.

#Mission2024 with @PreetiChoudhry: https://t.co/oWrvIJrsGN
#PawanKhera https://t.co/XmFzckaTuv"
96,2023-02-23 13:45:15+00:00,IndiaToday,"Pawan Khera released after interim bail.
(@AishPaliwal )
Watch #Mission2024 with @PreetiChoudhry: https://t.co/oWrvIJrsGN
#PawanKhera #News #Delhi https://t.co/7EjQd7EBY6"
97,2023-02-23 13:41:53+00:00,IndiaToday,"Canada's ‘super pigs’, considered incredibly intelligent, are infiltrating the northern US. These giant animals, which are a result of cross-breeding domestic pigs with wild boars, are a threat to the environment. 

#NewsMo #Canada #SuperPigs https://t.co/4DLOjmGAHW"
98,2023-02-23 13:27:36+00:00,IndiaToday,Congress faces 'defamatory' action! Watch this and more on #Mission2024 with @PreetiChoudhry | #ITLivestream https://t.co/U9A1VB2Mqc
99,2023-02-23 13:24:38+00:00,IndiaToday,"The tractor carrying about 12 people, mostly workers, including the infant from Savalur village was proceeding to a village in #AndhraPradesh when the mishap occurred

https://t.co/RjNBEIK0fs"
100,2023-02-23 13:23:34+00:00,IndiaToday,"#DelhiLiquorgate | AAP leader Jasmine Shah summoned by ED.
Watch this and more on #6PMPrime with @akshita_n: https://t.co/tYsHf071mM
#news https://t.co/1IJnEgvEvR"
101,2023-02-23 13:23:13+00:00,IndiaToday,"Utpal Parrikar, the son of former #Goa Chief Minister Manohar Parrikar, who contested the Goa Assembly polls last year as an Independent, has hinted at a possible return to the #BJP

(@pankajcreates) 

https://t.co/VtvqmaolYW"
102,2023-02-23 13:21:31+00:00,IndiaToday,"Kolkata is paying homage to its wildlife with the inauguration of a second zoo. Watch this video to know more.

#Harinalaya #Kolkata #Zoo #Wildlife #NewsMo https://t.co/OXiUc7cil1"
103,2023-02-23 13:20:40+00:00,IndiaToday,"Well, what are your thoughts about this?

#Trending @iHrithik 

https://t.co/nazrf6ooq8"
104,2023-02-23 13:12:42+00:00,IndiaToday,"Our struggle to protect this nation and constitutional values will continue: @Pawankhera  
(@AishPaliwal) 
Watch #6PMPrime with @akshita_n: https://t.co/tYsHf071mM
#news #PawanKhera https://t.co/t2fCoe4VlY"
105,2023-02-23 13:11:25+00:00,IndiaToday,"Amrit Pal Singh styles himself to look like Jarnail Singh Bhindranwale, who was killed in Operation Blue Star

#Amritsar #AmritpalSingh 
(By @manjeet_sehgal) 

https://t.co/P1WZUT22KI"
106,2023-02-23 13:08:16+00:00,IndiaToday,"Pawan Khera released after arrest.
(@AishPaliwal) 
Watch #6PMPrime with @akshita_n: https://t.co/tYsHf071mM
#news #PawanKhera https://t.co/kZO3aIeqLA"
107,2023-02-23 13:02:48+00:00,IndiaToday,"Congress leader Pawan Khera released after bail by Delhi court

#Pawan_Khera #Congress 

https://t.co/tSn0lier5T"
108,2023-02-23 13:02:05+00:00,IndiaToday,"If you were in the UK right now, you would only be able to buy two tomatoes and two cucumbers. Major UK supermarkets are rationing fruits and vegetables. Why are UK markets rationing food? Watch the full video to find out.

#UK #Britain #Food #FoodShortage #NewsMo https://t.co/uWDg3KhCwL"
109,2023-02-23 13:00:51+00:00,IndiaToday,"Spurt in Pro-Khalistani activities across the world.

Watch #6PMPrime with @akshita_n: https://t.co/tYsHf071mM
#news https://t.co/ZMt74pjki2"
110,2023-02-23 13:00:03+00:00,IndiaToday,"Luna joins Voldemort and Bellatrix in their support for JK Rowling 

@DailyO_ #Entertainment 

https://t.co/TGJ5yWOqbM"
111,2023-02-23 12:59:22+00:00,IndiaToday,"The medical student's health is said to be critical at present and she is under treatment

#Telangana #Warangal (@Jay_Apoorva18) 

https://t.co/pAC3wzfdPg"
112,2023-02-23 12:57:47+00:00,IndiaToday,"BJP targets Punjab CM and AAP govt over Amristar clashes &amp; #AmritpalSingh's big provocation.
(@Akshita_N) 
Watch #6PMPrime with @akshita_n: https://t.co/tYsHf071mM
#AmritpalSingh #news https://t.co/VJPCy8DB9B"
113,2023-02-23 12:56:25+00:00,IndiaToday,"The police cleared off the protesters from the Ajnala police station premises after they were assured of Lovepreet Toofan's release

#AmritpalSingh #Amritsar (@kamaljitsandhu) 

https://t.co/QMXdmiis9J"
114,2023-02-23 12:55:39+00:00,IndiaToday,"Why would someone calling himself a Khalistani ideologue would use Guru Granth Sahib and Panj Piaras as a shield during a violent protest? #AmritpalSingh created a Catch-22 trap for AAP administration, observes @HarmeetSS 

#6PMPrime with @akshita_n: https://t.co/tYsHf071mM https://t.co/J8TQaKhoQO"
115,2023-02-23 12:55:36+00:00,IndiaToday,"Railway officials at the #Secunderabad railway station received a bomb threat call on the #BellaryExpress on Tuesday evening

(@Jay_Apoorva18) 

https://t.co/8sTW8kKqL5"
