,Date,User,Tweet
126,2023-02-23 06:55:12+00:00,ndtv,"Congress Leader Stopped From Flying Out Of Delhi, Party Protest On Tarmac https://t.co/R2GQn5kzVF https://t.co/1Nu5rbte2K"
127,2023-02-23 06:51:49+00:00,ndtv,#BREAKING | Enforcement Directorate questions Delhi Chief Minister Arvind Kejriwal's secretary Bibhav Kumar in liquor policy case https://t.co/loy2lfrq7z https://t.co/DETfmbyKL0
128,2023-02-23 06:50:59+00:00,ndtv,#BREAKING | Enforcement Directorate questions Delhi Chief Minister Arvind Kejriwal's secretary Bibhav Kumar in liquor policy case https://t.co/GPJdOia3GN https://t.co/fjLhA90nda
129,2023-02-23 06:49:56+00:00,ndtv,#DelhiLiquorPolicyCase https://t.co/Qa7LNF1XiB
130,2023-02-23 06:45:56+00:00,ndtv,"#Breaking | Congress Leader Stopped From Flying To Raipur, Party Protests At Delhi Airport https://t.co/ot7cJJGvsg https://t.co/O4iFrJXRE9"
131,2023-02-23 06:43:20+00:00,ndtv,#PawanKhera https://t.co/PyyFrOn1OP
132,2023-02-23 06:42:15+00:00,ndtv,"#BREAKING | Congress's Pawan Khera stopped by cops from flying to Raipur, party protests at Delhi airport https://t.co/xdb9XoWTNx https://t.co/Grurcofur1"
133,2023-02-23 06:40:23+00:00,ndtv,"BJP protests against Delhi Deputy Chief Minister Manish Sisodia, holds protest march towards AAP office 

NDTV's Tanushree Pandey reports https://t.co/nsIjlFADmb"
134,2023-02-23 06:37:23+00:00,ndtv,"#InPics | Finance Minister Nirmala Sitharaman (@nsitharaman) meets US Treasury Secretary Janet Yellen (@SecYellen) ahead of the first #G20 #FMCBG meeting in Bengaluru, today.  

(📸: @FinMinIndia) https://t.co/NUGanXiXkS"
135,2023-02-23 05:58:47+00:00,ndtv,"Reena Gupta, AAP leader, on the ruckus in the MCD House amid the standing committee poll https://t.co/asY7wrOFji"
136,2023-02-23 05:58:13+00:00,ndtv,"Teena Sharma, BJP leader, on the ruckus in the MCD House amid the standing committee poll https://t.co/uQqyeorUX3"
137,2023-02-23 05:52:20+00:00,ndtv,"Setback For OPS, Supreme Court Says Rival EPS Stays AIADMK Chief https://t.co/SO1JSFgvlL https://t.co/Idb1EK7Uu3"
138,2023-02-23 05:49:39+00:00,ndtv,#AIADMK https://t.co/XQdT3RJ6YN
139,2023-02-23 05:39:50+00:00,ndtv,"#Breaking | EPS vs OPS: Supreme Court affirms Madras High Court order, Palaniswami to continue as AIADMK interim general secretary https://t.co/9enPafd6Ww"
140,2023-02-23 05:08:40+00:00,ndtv,"""Son Would Die"": Gurugram Woman, Who Locked Self In For 3 Years, Told Cops https://t.co/Vo8ear5Upn https://t.co/fmeqm3Nhmx"
141,2023-02-23 05:08:13+00:00,ndtv,"Hyderabad Body's Move To Check Stray Dog Attacks After Boy, 5, Killed https://t.co/7QbEJdfXZq https://t.co/oqNfp0FMxv"
142,2023-02-23 04:57:42+00:00,ndtv,"Free-For-All In Delhi Civic Body, Mic Ripped Off, Bottles Fly https://t.co/WCqyZPc9Gi https://t.co/XjWIBYULcS"
